node_id,name,ytag,pdu,backplane,type,parent,status,site,property,serialno,model,ponumber,locroom,locrow,locarea,loccage,locrack,locside,locshelf,racksize,console,cport,bootbox,bport,bmodule,bplug,bootbox2,bport2,bmodule2,bplug2,netswitch (Manual),sport (Manual) (Auto-discovered),netswitch (Auto-discovered),sport (Auto-discovered),vlan,mac,manufacturer,osname,bornondate,atime,c_time,m_time,notes,validation_status,procurement_ticket
5225,mc1.grp.re1.yahoo.com,27561,,a,host,,active,re1,groups|US,6J1CJMM1300D,ProLiant DL320,,0,11,A,7,22,a,24,1,konsole7-11-22.re1.yahoo.com,30024,konsole7-11-22.re1.yahoo.com,30045,0,13,,0,0,0,,0,c3560-a90.re1.yahoo.com,Gi0/24,27,00:02:A5:EB:A3:F6,HP,FreeBSD,1003663100,1232662404,2001-10-21 04:18:20,2009-01-22 14:13:24,,validated hosts,
5351,mc2.grp.re1.yahoo.com,19151,,a,host,,active,re1,groups|US,6J13FVF18022,ProLiant DL320,,0,11,A,7,21,a,22,1,konsole7-11-21.re1.yahoo.com,30022,konsole7-11-21.re1.yahoo.com,30045,0,14,,0,0,0,,0,c3560-a89.re1.yahoo.com,Gi0/22,27,00:08:02:A2:D2:A1,HP,FreeBSD,1003663100,1232662404,2001-10-21 04:18:20,2009-01-22 14:13:24,,validated hosts,
214845,miner1.grp.scd.yahoo.com,1021594,,a,host,,active,scd,groups|US,dl9h1c1,PowerEdge 860,,0,14,E,0,7,a,28,1,konsole62.scd.yahoo.com,30027,konsole62.scd.yahoo.com,30045,0,16,,0,0,0,,0,,,,00:15:c5:f4:ff:bb,Dell Computer Corporation,FreeBSD,1176790751,1232662394,2007-04-16 23:19:11,2009-01-22 14:13:14,,validated hosts,
234849,misc1.grp.re1.yahoo.com,59865,,a,host,,active,re1,groups|US,M0DNMF662K,ProLiant DL140,,0,11,A,7,21,a,3,1,konsole7-11-21.re1.yahoo.com,30003,konsole7-11-21.re1.yahoo.com,30045,0,22,,0,0,0,,0,c3560-a89.re1.yahoo.com,Gi0/3,27,00:0f:20:7a:e9:b1,HP,Linux,1185591592,1232662404,2007-07-27 19:59:52,2009-01-22 14:13:24,,validated hosts,
9040,misc1.grp.scd.yahoo.com,15105,,,host,,active,scd,groups|US,,TR440BXA,,0,14,E,0,2,a,24,1,konsole19.scd.yahoo.com,30009,konsole19.scd.yahoo.com,30047,0,7,,0,0,0,,0,,,,00:a0:c9:fc:25:d3,Intel,Linux,0,1210842143,1969-12-31 16:00:00,2008-05-15 02:02:23,,validated hosts,
9038,misc2.grp.scd.yahoo.com,21873,,,host,,active,scd,groups|US,,TR440BXA,,0,14,E,0,3,a,13,1,konsole20.scd.yahoo.com,30007,konsole20.scd.yahoo.com,30045,0,2,,0,0,0,,0,,,,00:d0:b7:a8:48:8d,Intel,Linux,0,1225888918,1969-12-31 16:00:00,2008-11-05 04:41:58,,validated hosts,
288653,miscdb1.grp.re1.yahoo.com,1033604,,a,host,,active,re1,groups|US,,PowerEdge 2950,,0,5,A,9,1,a,18,2,konsole9-5-1.re1.yahoo.com,0,konsole9-5-1.re1.yahoo.com,30046,0,8,,0,0,,c4948-a21.re1.yahoo.com,18,c4948-a21.re1.yahoo.com,Gi1/18,30,00:1c:23:bf:b6:b0|00:1c:23:bf:b6:b2,Dell Computer Corporation,Linux,1201976243,1232662404,2008-02-02 10:17:23,2009-01-22 14:13:24,,validated hosts,
275658,miscdb1.grp.sp1.yahoo.com,1034392,,c,host,cabinet-f12-12.ops.sp1.yahoo.com,active,sp1,groups|US,CVPTWD1,PowerEdge 2950,,0,12,F,0,12,a,39,2,konsole1-f12-12.ops.sp1.yahoo.com,30039,konsole1-f12-12.ops.sp1.yahoo.com,30046,0,8,,0,0,,c4948-c71.sp1.yahoo.com,39,c4948-c71.sp1.yahoo.com,Gi1/39,128,00:01:23:c0:f3:27|00:1c:23:c0:f3:25,Dell Computer Corporation,Linux,1197598933,1232662394,2007-12-13 18:22:13,2009-01-22 14:13:14,,validated hosts,2527
288654,miscdb2.grp.re1.yahoo.com,1033931,,a,host,,active,re1,groups|US,,PowerEdge 2950,,0,5,A,9,1,a,20,2,konsole9-5-1.re1.yahoo.com,0,konsole9-5-1.re1.yahoo.com,30047,0,8,,0,0,,c4948-a21.re1.yahoo.com,20,c4948-a21.re1.yahoo.com,Gi1/20,30,00:1c:23:c1:63:b4|00:1c:23:c1:63:b6,Dell Computer Corporation,Linux,1201976243,1232662404,2008-02-02 10:17:23,2009-01-22 14:13:24,,validated hosts,
275666,miscdb2.grp.sp1.yahoo.com,1034422,,c,host,cabinet-f2-06.ops.sp1.yahoo.com,active,sp1,groups|US,87PTWD1,PowerEdge 2950,,0,2,G,0,6,a,17,2,konsole1-f2-06.ops.sp1.yahoo.com,30017,konsole1-f2-06.ops.sp1.yahoo.com,30046,0,5,,0,0,,c4948-c70.sp1.yahoo.com,17,c4948-c70.sp1.yahoo.com,Gi1/17,128,00:1c:23:c0:f5:ec|00:1c:23:c0:f5:ee,Dell Computer Corporation,Linux,1197598936,1232662394,2007-12-13 18:22:16,2009-01-22 14:13:14,,validated hosts,2527
286293,mon1.grp.corp.re1.yahoo.com,1033962,,,host,,active,corp-RE1,groups|US,4bt7wd1,PowerEdge 2950,,0,4,0,9,12,a,3,2,konsole9-4-12.re1.yahoo.com,30005,konsole9-4-12.re1.yahoo.com,30046,0,7,,0,0,,rsw10-1-gci.corp.re1.yahoo.com,3,,,,,Dell Computer Corporation,FreeBSD,1201224555,1212182611,2008-01-24 17:29:15,2008-05-30 14:23:31,,unvalidated nodes,
288361,mon1.grp.corp.sp1.yahoo.com,1035561,,,host,cabinet-d12.10.ops.sp1.yahoo.com,active,Corp-SP1,groups|US,D6R11F1,PowerEdge 2950,,0,12,D,0,10,a,9,2,konsole1-d12-10.ops.sp1.yahoo.com,30009,konsole1-d12-10.ops.sp1.yahoo.com,30046,0,21,,0,0,,svrsw128.corp.sp1.yahoo.com,9,,,,,Dell Computer Corporation,FreeBSD,1201826476,1232662394,2008-01-31 16:41:16,2009-01-22 14:13:14,,unvalidated nodes,
496015,mon2.grp.corp.sp1.yahoo.com,,,,host,,active,Corp-SP1,groups|US,,,,0,0,A,0,0,a,0,1,,,,,,,,,,,,,,,,,,,1240963207,1240963207,2009-04-28 17:00:07,2009-04-28 17:00:07,,,1-915158501
